title,country,genre,director,actors
Шерлок Холмс и доктор Ватсон: Знакомство,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
Трасса 60,Канада, фантастика,Боб Гейл,"Джеймс Марсден, Гари Олдман"
"Кавказская пленница, или Новые приключения Шурика",СССР, комедия,Леонид Гайдай,"Александр Демьяненко, Наталья Варлей"
Крестный отец,США, драма,Фрэнсис Форд Коппола,"Марлон Брандо, Аль Пачино"
...А зори здесь тихие,СССР, драма,Станислав Ростоцкий,"Елена Драпеко, Екатерина Маркова"
Дело храбрых,США, драма,Джозеф Косински,"Джош Бролин, Майлз Теллер"
Белая птица: Новое чудо,США, драма,Марк Форстер,"Ариэлла Глейзер, Хелен Миррен"
Пятый элемент,Франция, фантастика,Люк Бессон,"Брюс Уиллис, Милла Йовович"
Счастливое число Слевина,США, триллер,Пол Макгиган,"Джош Хартнетт, Люси Лью"
Паразиты,Корея Южная, драма,Пон Джун-хо,"Сон Кан-хо, Ли Сон-гюн"
Омерзительная восьмерка,США, вестерн,Квентин Тарантино,"Курт Рассел, Сэмюэл Л. Джексон"
Достать ножи,США, детектив,Райан Джонсон,"Дэниэл Крэйг, Ана де Армас"
Шоу Трумана,США, драма,Питер Уир,"Джим Керри, Лора Линни"
Области тьмы,США, триллер,Нил Бёргер,"Брэдли Купер, Роберт Де Ниро"
Иди и смотри,СССР, драма,Элем Климов,"Алексей Кравченко, Ольга Миронова"
Планета Ка-Пэкс,Германия, фантастика,Иэн Софтли,"Кевин Спейси, Джефф Бриджес"
Реквием по мечте,США, драма,Даррен Аронофски,"Джаред Лето, Марлон Уайанс"
Лучшее предложение,Италия, триллер,Джузеппе Торнаторе,"Джеффри Раш, Джим Стёрджесс"
Лекарь: Ученик Авиценны,Германия, приключения,Филипп Штёльцль,"Том Пэйн, Бен Кингсли"
Гарри Поттер и Дары Смерти: Часть II,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Люди в чёрном,США, фантастика,Барри Зонненфельд,"Томми Ли Джонс, Уилл Смит"
Игры разума,США, биография,Рон Ховард,"Рассел Кроу, Эд Харрис"
Крик тишины,Россия, драма,Владимир Потапов,"Алина Саргина, Лев Гиршов"
Один дома,США, комедия,Крис Коламбус,"Маколей Калкин, Джо Пеши"
Балканский рубеж,Россия, боевик,Андрей Волгин,"Антон Пампушный, Гоша Куценко"
Принцесса Мононоке,Япония, аниме,Хаяо Миядзаки,"Ёдзи Мацуда, Юрико Исида"
Троя,США, боевик,Вольфганг Петерсен,"Брэд Питт, Эрик Бана"
Пожары,Канада, драма,Дени Вильнёв,"Лубна Азабаль, Мелисса Дезормо-Полен"
Как прогулять школу с пользой,Франция, драма,Николя Ванье,"Франсуа Клюзе, Жан Скандель"
